ID ,"How many minutes did you sleep LAST NIGHT - i.e., the night before you took the cognitive tests? ",What was your MEAN number of times you awoke during the night?,What was the STANDARD DEVIATION of the number of times you awoke during the night?,What was your MEAN total minutes of sleep DURING THE NIGHT?,What was the STANDARD DEVIATION of your total minutes of sleep DURING THE NIGHT?,What was your MEAN restfulness rank?,What was the STANDARD DEVIATION of your restfulness rank?,What was your MEAN total MINUTES of active exercise over past 24 hours?,What was the STANDARD DEVIATION of the total MINUTES of active exercise over past 24 hours?,What was your MEAN stress level over the last 24 hours?,What was the STANDARD DEVIATION of your stress level over the last 24 hours?,What was your MEAN amount of caffeine (mg) you ingested in the past 24 hours?,What was the STANDARD DEVIATION of the amount of caffeine (mg) you ingested in the past 24 hours?,How many nights did you take something to help you sleep last week ,What was your mean RT?,What was your median RT?,What was your max RT?,What was your min RT?,What was your mean RT500?,What was your median RT500?,What was your max RT500??,What was your min RT500?,What was your number of lapses (column X)?,What was your mean lapse RT?,What was your cumulative lapse RT ?,What was your count of false starts ?,What was your false start RT?,"Memory Test: What was the total time it took you to complete the first test, in SECONDS? Do NOT record this in minutes and seconds.",Memory test: How many errors did you have on your first test?,"Memory Test: What was the total time it took you to complete the second test, in SECONDS? Do NOT record this in minutes and seconds.",Memory test: How many errors did you have on your second test?,"How rested do you feel right now, on a scale of 1-10, where 1=not rested at all and 10=very well rested? Please note, if you are filling out this survey AFTER your lab has ended, try to answer this based on how rested you felt DURING lab.",What was your MEAN total minutes of sleep DURING THE NIGHT?,Memory Test 1: Herustic score,Memory Test 2: Herustic score
1,555,0,0,426.427,84.0225,7.2015,1.256,60,0,5.998,0.756,360,56.125,0,377.816,341.25,730,261.5,343.625,333.25,498.5,261.5,7,92.43,1294,4.5,5.745,133.5,0,123,0,7.5,426.427,133.5,123
2,567,0.286,0.5825,461.5,139.2795,6,2.07,44.286,23.494,2.7145,0.828,0,0,0,346.9034,330.5,811.5,271,338.68695,329.75,476,271,2,269.833335,351.5,0.5,0.609756,143.5,0,133.5,0,5.5,451.5,143.5,133.5
3,390,0,0,478.571,99.42,5.857,1.485,26.357,23.3,7.857,0.938,103.357,88.0745,2,218.3780488,211.25,502.5,150,223.8011539,390.5,485,282.5,12.5,88.5,1126.5,2.5,3.246539222,169,1,164.5,0,6,473.5715,174,164.5
4,1320,1.286,1.113,25.714,47.208,6.857,2.41,107.143,16.036,6.714,2.059,142.857,97.59,0,367.7350617,343.5,832.5,268.5,350.9456522,342.25,480,268.5,3.5,127.8333334,759.5,3.5,4.567901235,125.42,0,121.485,0,7.5,620,125.42,121.485
5,407.5,0.7855,0.896,511.786,172.0865,7.0715,1.7925,62.071,28.193,7.2855,1.4595,63.643,53.974,0,373.1424216,361,594.5,297,365.2167722,359.25,465.5,297,3.5,67.5,189,0,0,148.5,0,128.5,0,7,448.9285,148.5,128.5
6,525,0.6425,0.945,498.5715,55.7495,9.143,1.066,55.7145,44.094,1.929,1.1495,0,0,0,345.20225,334.5,708,258.5,340.54,333.5,479,258.5,1,208,208,0.5,0.625,155.5,0.5,146,0,9.5,495,158,146
7,450,0,0,400.7145,71.565,5.5,1.62,11.4285,23.538,4.2855,2.511,0,0,0,375.94735,330.25,1711.5,146.5,334.0225,325,465,146.5,7,306.7,2080,6.5,8.724695,126.2,0,134.7,0,5,400.7145,126.2,134.7
8,502.5,0.0715,0.189,498.643,31.4675,6.1425,2.014,56.853,32.448,7.544,2.6235,16.6665,40.825,3,333.6524,324,543.5,276.5,329.89375,323.5,496,276.5,1.5,28,50,0,0,126.51,1,130.2,1,8,497.143,131.51,135.2
9,450,0.3575,0.7715,522.857,78.6885,7.0715,0.866,38.5715,16.8415,7.143,0.786,84.643,38.8475,0,395.1265823,343.5,2405,210.5,346.5652174,337.75,494.5,210.5,6.5,390.9,2909,3.5,4.399056962,122,1,118.5,0,5,513.5715,127,118.5
10,420,0.0715,0.189,527.143,128.285,7,0.816,118.714,42.252,5,0.577,22.857,39.036,2,436.0721,358.5,2670,265,356.4738,348,490.5,265,10,379.8,4845,2,2.5,162,3.5,198,3.5,6,505.714,179.5,215.5
11,375,1.714,0.622,455,55.7405,7.0715,0.6075,62.1425,23.262,5.7145,0.7675,75,95.8115,3,391.3148148,370.5,843.5,167.5,364.9684524,360.25,481,167.5,8.5,117.5682323,982,2.5,3.157644824,129.625,0,129.26,0,6.5,450,129.625,129.26
12,470.5,0,0,460.0715,57.7855,6.4285,1.822,26.0715,11.788,6.9285,2.325,0,0,0,176.1761,345.5,658.5,228,383.26545,322,483.5,228,2,65.823,197,0.5,0.6024095,107.5,0.5,97,0,5.5,460.0715,110,97
13,540,1.714,0.756,475.714,51.3685,5.3575,0.7715,30,0,5.429,0.535,210,0,0,417.24125,392.5,1174.5,225.5,382.29,378.75,490,225.5,10.5,101.80645,1420.285,2,2.45,170.5,0,154,0.5,6.5,467.143,170.5,156.5
14,442.5,0,0,455.357,110.745,6.429,1.8575,17.786,12.332,4.143,1.464,145.357,67.393,0,353.1826508,341,545.5,270,346.7819048,337.5,492,270,2.5,33,124.5,0,0,116,0,117.5,0.5,7.5,455.357,116,120
15,507.5,2.2145,1.828,508.5715,80.8335,3.714,1.4285,28.2145,19.594,5.857,0.912,68.857,5.836,6,361.7888,345.5,724.5,282,350.4687,340.5,477,282,3.5,87.75,436.5,2,2.409,105.55,0,77.78,0,3.5,502.143,105.55,77.78
16,530,0.6425,1.194,537.857,59.3535,5.4285,1.5755,53.571,63.5445,7,1.6475,57.4285,33.768,3,375.0291734,345.25,1651.5,275.5,346.5876834,341.25,482.5,275.5,5,276.83335,1610.5,0.5,0.632911393,156.5,0,130.5,0,7,529.2855,156.5,130.5
17,570,1.857,1.3395,529.286,76.9375,6.5715,1.338,45,0,4.6425,1.1925,51.4285,45.097,7,334.6756329,320,588,273.5,328.0143388,318.25,487.5,273.5,2.5,46.75,100,1.5,1.890822785,115.56,0,106.45,0,6.5,529.286,115.56,106.45
18,437.5,2.571,1.803,483.571,58.864,4.786,1.3085,12.143,9.1845,7.429,1.615,15.643,21.5925,2,320.277,307.5,531.5,252,316.957,307,470,252,1,NA,NA,0.5,0.60241,174.6,0,152.5,0,4.5,480,174.6,152.5
19,525,0.7145,0.7175,495.857,43.3985,5.357,0.8435,80.571,33.2675,4.5715,0.753,123.643,34.662,0,349.3209939,342,479,277,349.3209939,342,479,277,0,NA,NA,0,0,117,0,137.5,0,5.5,495.857,117,137.5
20,405,0,0,419.357,45.51,6.5,1.068,25.3575,23.4455,5.429,1.5575,63.7145,61.7485,0,401.7595,375,1330,286,369.9155,369,492,286,8,184.375,1475,1,1.2659115,123.09,0,116.365,0,6,411.857,123.09,116.365
21,435,0.5715,1.0205,459.286,62.551,6.7145,1.606,51.786,20.783,4.5,1.976,320.7145,67.889,0,351.29365,342.75,524.5,286.5,349.1689,342.25,488.5,286.5,1,24.5,24.5,0,0,161,0,131.5,0,5,459.286,161,131.5
22,427.5,0.0715,0.189,438.9285,53.772,6.714,1.3085,145.5,39.7105,6.714,0.7385,212.8215,55.5815,0,354.27225,343,581,295,350.48435,342.5,469.5,295,1.5,63.75,82.5,0.5,0.5882355,170.5,0,112.5,0,6.5,430.3575,170.5,112.5
